id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2020-128171,2020-09-01,1,Vente,15000.00,,,"LES TREMBLETS",B289,18000,18033,Bourges,18,,,18033000YB0125,,,,,,,,,,,,,0,,,,,T,terres,,,1690.00,,,000YB
2021-266703,2021-05-19,1,Vente,1.00,,,"LA PREE",B228,18000,18033,Bourges,18,,,18033000AL0109,,,,,,,,,,,,,0,,,,,S,sols,,,131.00,,,000AL
2022-264963,2022-05-10,1,Vente,2000.00,,,"LES GRANDS CHENUS",B117,18000,18033,Bourges,18,,,18033000BW0002,,,,,,,,,,,,,0,,,,,J,jardins,,,1002.00,,,000BW
2021-266032,2021-03-26,1,Vente,150000.00,,,"RUE CHARLET",1160,18000,18033,Bourges,18,,,18033000BV0002,,,,,,,,,,,,,0,,,,,S,sols,,,179.00,2.4145310,47.0846520,000BV
2021-265488,2021-02-05,1,Vente,60000.00,,,"MOULIN BATARD",B172,18000,18033,Bourges,18,,,18033000HN0139,,,,,,,,,,,,,0,,,,,S,sols,,,620.00,2.3513360,47.0850090,000HN
2021-265041,2021-01-11,1,Vente,70000.00,159,,"CHE DE VILLENEUVE",5830,18000,18033,Bourges,18,,,18033000EM0572,,,,,,,,,,,,,0,4,"Local industriel. commercial ou assimilé",500.00,0,S,sols,,,809.00,2.3602760,47.0617970,000EM
2021-265041,2021-01-11,1,Vente,70000.00,159,,"CHE DE VILLENEUVE",5830,18000,18033,Bourges,18,,,18033000EM0572,,,,,,,,,,,,,0,4,"Local industriel. commercial ou assimilé",500.00,0,T,terres,,,4885.00,2.3602760,47.0617970,000EM
2021-265043,2021-01-07,1,Vente,711570.00,9,,"RUE SAMSON",5420,18000,18033,Bourges,18,,,18033000HY0219,,,,,,,,,,,,,0,1,Maison,250.00,8,J,jardins,,,333.00,2.4014000,47.0830920,000HY
2021-265043,2021-01-07,1,Vente,711570.00,9,,"RUE SAMSON",5420,18000,18033,Bourges,18,,,18033000HY0219,,,,,,,,,,,,,0,1,Maison,250.00,8,S,sols,,,504.00,2.4014000,47.0830920,000HY
2021-265049,2021-01-08,1,Vente,126188.00,2,B,"RUE PIERRE ANDRE DE SUFFREN",4653,18000,18033,Bourges,18,,,18033000BZ0316,,,3,91.29,56,,,,,,,,2,2,Appartement,79.00,4,,,,,,2.4320640,47.0834240,000BZ
2021-265054,2021-01-12,1,"Vente en l'état futur d'achèvement",219444.00,,,"RUE RANCHOT",5110,18000,18033,Bourges,18,,,18033000DK0375,,,183,,,,,,,,,,1,,,,,,,,,,2.4040720,47.0742890,000DK
2021-265056,2021-01-12,1,"Vente en l'état futur d'achèvement",219444.00,,,"RUE RANCHOT",5110,18000,18033,Bourges,18,,,18033000DK0375,,,150,,,,,,,,,,1,,,,,,,,,,2.4040720,47.0742890,000DK
2021-265057,2021-01-12,1,Vente,2000.00,,,"MARAIS DES 4 PELLES",B159,18000,18033,Bourges,18,,,18033000BR0242,,,,,,,,,,,,,0,,,,,J,jardins,,,523.00,2.4060590,47.0916610,000BR
2021-265062,2021-01-12,1,Vente,74500.00,12,,"RUE JEANNE DE FRANCE",3160,18000,18033,Bourges,18,,,18033000EW0133,,,2,,7,74.75,8,17.50,,,,,3,2,Appartement,76.00,3,,,,,,2.3886190,47.0793290,000EW
2021-265064,2021-01-19,1,Vente,74000.00,96,B,"AV FRANCOIS MITTERRAND",2221,18000,18033,Bourges,18,,,18033000CM0121,,,27,53.40,,,,,,,,,1,2,Appartement,52.00,3,,,,,,2.4358130,47.0826730,000CM
2021-265064,2021-01-19,1,Vente,74000.00,96,B,"AV FRANCOIS MITTERRAND",2221,18000,18033,Bourges,18,,,18033000CM0121,,,85,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4358130,47.0826730,000CM
2021-265070,2021-01-12,1,Vente,120000.00,9003,,"PLAME SOURIS",B344,18000,18033,Bourges,18,,,18033000CN0228,,,,,,,,,,,,,0,1,Maison,81.00,4,S,sols,,,518.00,2.4597500,47.0848150,000CN
2021-265070,2021-01-12,1,Vente,120000.00,,,"VILLAGE DE PLAME SOURIS",B306,18000,18033,Bourges,18,,,18033000CN0229,,,,,,,,,,,,,0,,,,,P,prés,,,525.00,2.4593140,47.0847890,000CN
2021-265070,2021-01-12,1,Vente,120000.00,,,"VILLAGE DE PLAME SOURIS",B306,18000,18033,Bourges,18,,,18033000CN0229,,,,,,,,,,,,,0,,,,,S,sols,,,433.00,2.4593140,47.0847890,000CN
2021-265072,2021-01-12,1,Vente,5400.00,,,"MARAIS NEUFS",B160,18000,18033,Bourges,18,,,18033000BO0063,,,,,,,,,,,,,0,,,,,J,jardins,,,1084.00,2.4190700,47.0888160,000BO
2021-265073,2021-01-15,1,"Vente en l'état futur d'achèvement",210921.60,,,"RUE RANCHOT",5110,18000,18033,Bourges,18,,,18033000DK0375,,,84,,,,,,,,,,1,,,,,,,,,,2.4040720,47.0742890,000DK
2021-265074,2021-01-14,1,"Vente en l'état futur d'achèvement",215712.00,,,"RUE RANCHOT",5110,18000,18033,Bourges,18,,,18033000DK0375,,,120,,,,,,,,,,1,,,,,,,,,,2.4040720,47.0742890,000DK
2021-265075,2021-01-13,1,"Vente en l'état futur d'achèvement",182066.40,,,"RUE RANCHOT",5110,18000,18033,Bourges,18,,,18033000DK0375,,,78,,,,,,,,,,1,,,,,,,,,,2.4040720,47.0742890,000DK
